"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"Ramírez, Erasmo",541640,2023,15.7,4.7,181,3,0,6.41,,636,14.3,39.0,747,130,53.2,20.2,63.9,91.9,2195.0,5.4,81.3,2385.0,84.3,1675.0,80.0,2497.0,91.5,2166.0,88.7,2355.0,,,79.8,2401.0,89.9,2274.0
"Crowe, Wil",640444,2023,19.1,19.1,29,0,0,4.66,,104,12.0,46.4,49,64,39.7,24.4,56.5,93.6,2541.0,35.8,87.9,2740.0,85.9,1602.0,,,,,,,,,86.5,2786.0,93.6,2541.0
"Devenski, Chris",606965,2023,24.3,6.4,127,6,0,4.46,,433,17.6,53.8,198,86,46.5,29.3,69.8,94.0,2257.0,12.5,81.8,2238.0,83.3,1621.0,77.5,2209.0,,,,,,,79.1,2246.0,94.0,2257.0
"Abreu, Albert",656061,2023,22.8,13.1,177,2,0,4.73,,631,18.8,44.8,601,293,48.1,26.3,55.8,96.8,2093.0,28.1,87.7,2196.0,88.3,2006.0,,,97.4,2134.0,,,,,,,97.3,2130.0
"Wright, Kyle",657140,2023,21.9,11.0,93,1,0,6.97,,365,12.7,44.0,259,280,47.8,23.2,60.0,93.2,2339.0,1.4,87.1,2381.0,88.3,1496.0,84.0,2546.0,92.7,2225.0,,,,,,,92.9,2264.0
"Graveman, Kendall",608665,2023,23.4,12.8,199,5,0,3.12,,669,20.8,44.5,689,323,43.8,29.2,63.5,95.9,2338.0,26.8,87.1,2525.0,88.4,1715.0,82.2,2515.0,95.9,2264.0,,,,,,,95.9,2291.0
"Hunter, Tommy",488984,2023,18.9,4.7,71,0,0,6.85,,250,16.4,21.8,288,52,51.5,18.0,67.9,92.6,2346.0,,,,86.3,1904.0,83.6,2707.0,92.0,2388.0,90.1,2425.0,,,,,91.3,2398.0
"Karinchak, James",675916,2023,30.4,16.4,117,2,0,3.23,,443,19.5,47.7,413,319,44.7,29.8,53.5,94.8,2257.0,,,,,,82.8,2318.0,,,,,,,,,94.8,2257.0
"Priester, Quinn",682990,2023,15.4,11.5,150,3,0,7.74,,527,14.3,44.7,459,315,49.1,23.3,59.8,92.7,2345.0,23.3,85.3,2486.0,89.2,1525.0,80.6,2633.0,93.6,2186.0,,,,,,,93.3,2242.0
"Peralta, Freddy",642547,2023,30.9,7.9,497,12,0,3.86,,1785,24.2,53.8,1453,971,47.5,33.6,62.4,94.4,2414.0,21.8,82.4,2342.0,88.6,1707.0,76.9,2177.0,,,,,,,,,94.4,2414.0
"Moll, Sam",594580,2023,25.4,11.2,187,2,0,3.03,,658,16.8,36.9,623,0,52.1,22.5,58.8,94.1,2576.0,,,,86.4,1687.0,,,93.4,2354.0,,,,,81.8,3049.0,93.7,2448.0
"Hendriks, Liam",521230,2023,15.0,5.0,15,2,0,5.4,,51,28.0,37.5,51,36,41.4,31.7,70.0,95.4,2366.0,39.1,88.0,2196.0,,,85.0,2099.0,,,,,,,,,95.4,2366.0
"Miller, Bryce",682243,2023,22.2,4.8,394,8,0,4.32,,1414,19.0,40.2,1385,414,53.9,24.3,65.9,95.1,2591.0,18.9,86.6,2416.0,85.0,2055.0,78.6,2340.0,95.1,2451.0,93.3,2544.0,85.3,2028.0,81.2,2187.0,95.1,2575.0
"Busenitz, Alan",641427,2023,17.2,3.4,21,0,0,2.57,,79,20.8,27.3,75,24,61.7,22.0,71.4,95.0,2405.0,0.9,84.1,2555.0,,,83.7,2738.0,93.3,2166.0,91.5,2590.0,,,83.6,2572.0,93.5,2448.0
"Grove, Michael",675627,2023,24.2,6.3,207,2,0,6.13,,755,14.9,54.2,500,642,51.0,27.2,61.3,94.8,2237.0,39.0,85.6,2318.0,88.0,1490.0,78.3,2520.0,94.6,2132.0,89.3,2350.0,,,,,93.9,2243.0
"Brigham, Jeff",656257,2023,26.3,11.3,113,1,0,5.26,,411,22.4,42.4,393,0,47.5,27.9,59.4,93.5,2419.0,,,,,,,,,,89.9,2622.0,,,82.4,2872.0,92.3,2485.0
"Pressly, Ryan",519151,2023,27.6,6.0,196,4,0,3.58,,687,15.3,60.2,251,682,48.0,31.4,68.7,94.7,2557.0,40.0,89.8,2746.0,89.9,2012.0,82.1,3288.0,94.2,2530.0,94.4,2603.0,,,,,94.7,2559.0
"Raley, Brooks",548384,2023,25.8,10.6,164,1,0,2.8,,602,17.5,50.7,478,0,45.3,29.3,63.9,89.8,2562.0,,,,84.8,2065.0,,,89.9,2390.0,86.8,2634.0,,,81.5,2957.0,88.4,2510.0
"Stanek, Ryne",592773,2023,23.9,9.9,152,3,0,4.09,,544,24.1,49.6,555,152,50.6,30.7,60.6,98.2,2346.0,17.6,88.6,2486.0,,,,,,,,,89.2,1058.0,,,98.2,2346.0
"Rucinski, Drew",607968,2023,6.3,14.7,54,0,0,9.0,,201,9.2,50.0,192,131,47.1,21.8,60.0,89.0,2069.0,30.3,84.2,2104.0,83.6,916.0,78.8,2442.0,89.1,1988.0,,,,,,,89.1,2030.0
"Bleier, Richard",542947,2023,12.1,3.8,92,1,0,5.28,,327,13.2,27.1,386,46,52.0,17.9,76.3,88.9,2033.0,10.1,77.3,2048.0,,,,,88.0,2004.0,86.0,1986.0,78.5,487.0,,,87.1,1997.0
"Garrett, Reed",657585,2023,18.4,8.0,59,1,0,6.41,,223,21.1,45.5,251,9,47.0,28.7,65.5,96.3,2306.0,,,,,,84.9,2553.0,95.9,2222.0,90.8,2415.0,87.5,1587.0,86.0,2586.0,94.2,2330.0
"Bieber, Shane",669456,2023,20.1,6.4,384,6,0,3.8,,1276,11.7,50.5,1214,672,48.3,24.3,67.4,91.3,2242.0,20.8,84.6,2531.0,87.2,1663.0,82.5,2239.0,,,86.5,2469.0,,,,,89.2,2340.0
"Darvish, Yu",506433,2023,24.6,7.3,409,8,0,4.56,,1436,17.5,44.5,982,651,51.7,25.1,60.4,94.7,2405.0,17.7,85.7,2827.0,82.3,1198.0,76.3,2716.0,94.3,2270.0,90.9,2602.0,89.2,1443.0,82.4,2792.0,93.8,2388.0
"Martinez, Justin",679885,2023,24.6,19.3,30,0,0,12.6,,131,26.8,42.1,142,45,41.9,33.0,44.6,100.6,2240.0,19.1,89.6,2267.0,,,,,,,,,88.5,820.0,,,100.6,2240.0
"Ferguson, Caleb",657571,2023,25.9,8.5,181,7,0,3.43,,702,17.8,48.3,1030,0,53.0,26.1,57.0,95.8,2304.0,,,,,,,,,,86.6,2780.0,,,80.0,2923.0,92.9,2453.0
"Navarro, Edgar",679346,2023,23.1,5.1,26,0,0,7.27,,94,10.0,44.4,93,53,49.3,19.1,56.4,,,35.3,80.9,2531.0,88.2,1723.0,,,93.7,2235.0,,,,,,,93.7,2235.0
"Alzolay, Adbert",640470,2023,26.5,5.1,192,2,0,2.67,,647,19.2,49.7,466,448,52.1,28.1,62.5,95.3,2346.0,46.6,87.6,2552.0,87.9,1665.0,,,95.3,2213.0,91.2,2398.0,,,82.6,2603.0,94.6,2300.0
"Contreras, Roansy",672710,2023,18.2,10.6,205,3,0,6.59,,730,16.4,47.2,459,629,46.8,26.5,61.6,94.3,2353.0,43.5,83.6,2551.0,89.4,2040.0,76.8,2628.0,,,,,,,82.3,2583.0,94.3,2353.0
"Rom, Drew",680723,2023,18.8,11.2,101,1,0,8.02,,418,11.7,40.0,459,0,52.3,18.4,52.9,90.6,2341.0,,,,,,,,87.4,2093.0,,,83.6,1079.0,79.4,2099.0,89.5,2254.0
"Luzardo, Jesús",666200,2023,28.1,7.4,536,10,0,3.58,,1920,19.7,54.2,1499,863,47.4,31.4,59.4,96.7,2250.0,28.9,85.1,2320.0,88.3,1968.0,,,96.5,2150.0,91.4,2146.0,,,,,96.7,2233.0
"Pfaadt, Brandon",694297,2023,22.3,6.2,288,3,0,5.72,,1061,17.2,45.5,890,89,53.0,25.0,63.9,93.7,2469.0,,,,86.7,1955.0,78.8,2473.0,93.1,2312.0,,,,,83.8,2724.0,93.5,2441.0
"González, Victor",624647,2023,22.2,7.4,101,3,0,4.01,,327,20.5,45.1,325,152,47.1,29.2,59.7,,,29.8,86.1,2339.0,87.1,1839.0,,,94.6,2168.0,,,,,,,94.6,2168.0
"VerHagen, Drew",572403,2023,22.4,9.7,183,5,0,3.98,,652,21.3,51.3,601,0,48.9,30.6,61.3,93.4,2299.0,,,,88.5,1572.0,,,92.6,2270.0,88.2,2342.0,,,81.3,2320.0,92.0,2299.0
"Naile, James",664942,2023,8.8,11.3,46,0,0,8.8,,193,10.2,29.0,178,119,54.2,14.4,67.5,92.6,1807.0,,,,86.3,1534.0,83.1,2687.0,91.7,1617.0,86.9,2236.0,,,,,91.6,1637.0
"Waldron, Matt",663362,2023,17.9,6.9,124,1,0,4.35,,435,15.8,28.0,385,0,52.7,18.9,63.6,91.3,2049.0,,,,,,,,91.3,2008.0,86.7,2184.0,,,79.8,2281.0,90.2,2063.0
"Bielak, Brandon",656232,2023,17.6,10.2,240,5,0,3.83,,819,15.9,40.1,725,154,45.6,23.7,51.3,92.1,2415.0,,,,87.0,1877.0,79.5,2393.0,92.1,2209.0,,,,,82.0,2383.0,92.1,2330.0
"Funderburk, Kody",681892,2023,40.4,10.6,36,2,0,0.75,,124,25.0,53.6,137,0,49.5,34.5,63.8,,,,,,88.2,1950.0,,,93.4,2264.0,91.6,2305.0,,,82.5,2514.0,92.2,2291.0
"Tarnok, Freddy",676206,2023,21.5,16.9,44,1,0,4.91,,166,13.2,42.1,148,104,44.3,21.7,58.5,95.2,2459.0,25.8,86.3,2317.0,85.8,1763.0,79.8,2396.0,,,,,,,,,95.2,2459.0
"Hill, Rich",448179,2023,19.5,8.8,439,8,0,5.41,,1642,13.8,35.0,1339,943,52.5,19.3,59.7,88.4,2204.0,1.9,77.3,2409.0,83.0,1644.0,71.8,2613.0,86.1,2132.0,83.3,2317.0,,,69.4,2523.0,86.8,2229.0
"Marsh, Alec",679525,2023,24.9,11.4,223,3,0,5.69,,831,18.0,52.4,596,332,46.6,29.6,60.5,94.2,2461.0,9.8,87.3,2391.0,87.0,1736.0,81.1,2504.0,94.1,2370.0,,,,,85.4,2479.0,94.2,2446.0
"Davidson, Tucker",656353,2023,19.5,8.1,154,1,0,5.96,,544,16.0,40.8,315,375,49.6,23.9,55.3,91.4,1970.0,44.3,84.8,2260.0,,,,,90.4,1888.0,,,82.6,1091.0,79.6,2358.0,91.3,1965.0
"Rodriguez, Grayson",680570,2023,25.0,8.2,366,7,0,4.35,,1386,19.7,43.0,1135,195,51.5,26.3,61.7,97.4,2270.0,1.2,88.9,2302.0,83.9,1851.0,79.9,2629.0,,,90.1,2231.0,,,82.3,2405.0,96.8,2266.0
"Severino, Luis",622663,2023,18.9,8.2,268,4,0,6.65,,1086,16.6,32.0,1026,291,52.2,20.8,65.9,96.5,2269.0,17.8,84.7,2664.0,86.7,1561.0,,,95.8,2122.0,90.8,2399.0,,,83.8,2712.0,95.1,2290.0
