"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"Roupp, Landen",694738,2024,21.7,12.0,151,1,0,3.58,,564,17.4,40.0,383,438,46.4,25.3,61.3,93.7,2014.0,4.2,83.9,2742.0,88.2,1819.0,77.4,2964.0,94.4,2086.0,,,,,,,94.4,2082
"Ferguson, Tyler",621053,2024,30.0,11.6,154,4,0,3.68,,536,22.4,37.8,603,0,52.4,26.8,62.9,95.9,2350.0,,,,88.3,1733.0,,,95.1,2127.0,91.0,2419.0,,,84.5,2492.0,94.8,2295
"Maeda, Kenta",628317,2024,19.8,6.4,337,3,0,6.09,,1236,13.3,43.3,614,475,45.7,23.9,60.2,90.8,2284.0,22.7,82.1,2566.0,,,76.4,2778.0,90.4,2289.0,84.8,2478.0,83.9,1361.0,80.3,2637.0,90.4,2296
"Vásquez, Randy",681190,2024,14.4,6.7,294,4,0,4.87,,1091,12.3,37.1,976,280,51.9,18.9,60.3,94.3,2420.0,0.2,86.8,2913.0,88.6,2193.0,82.2,3155.0,94.2,2392.0,90.3,2648.0,,,82.2,3062.0,93.3,2466
"Black, Mason",696131,2024,18.3,8.9,109,1,0,6.44,,438,11.4,28.9,417,61,50.5,16.4,56.2,92.4,2128.0,9.2,87.4,2295.0,87.4,1584.0,,,92.6,2083.0,90.2,2269.0,,,81.2,2488.0,92.4,2112
"Woodford, Jake",663765,2024,15.6,5.4,105,0,0,7.97,,383,8.5,29.6,412,0,49.5,14.0,61.7,91.3,2203.0,,,,85.6,1472.0,,,91.5,2179.0,88.6,2254.0,,,80.7,2582.0,90.6,2202
"Wentz, Joey",666214,2024,24.0,10.9,202,1,0,4.68,,761,18.9,50.3,831,159,45.6,29.6,59.7,93.7,2236.0,,,,85.7,2042.0,79.3,2603.0,,,85.9,2456.0,,,,,90.1,2338
"Jarvis, Bryce",686826,2024,14.7,12.8,178,1,0,3.19,,634,15.0,41.3,621,248,51.2,21.8,59.1,95.7,2107.0,24.0,86.4,2621.0,85.1,1993.0,83.2,2375.0,95.1,2074.0,89.6,2484.0,,,,,94.3,2175
"Doval, Camilo",666808,2024,28.8,14.4,177,5,0,4.88,,680,19.7,61.0,546,570,45.7,34.3,58.3,100.0,2455.0,51.1,88.8,2486.0,,,,,97.5,2343.0,99.1,2425.0,,,,,98.7,2402
"García, Deivi",665620,2024,22.1,16.2,42,1,0,7.07,,160,25.0,48.7,158,45,43.1,32.8,57.4,95.1,2256.0,,,,85.3,2146.0,77.5,2742.0,,,,,,,79.8,2891.0,95.1,2256
"Assad, Javier",665871,2024,19.4,9.9,441,7,0,3.73,,1556,12.6,31.4,1856,337,49.0,17.9,58.8,91.5,2036.0,1.7,81.1,2335.0,83.7,1434.0,76.8,2440.0,91.4,1894.0,87.9,2047.0,,,79.9,2398.0,90.4,1970
"Montas, Frankie",593423,2024,22.6,10.1,452,7,0,4.84,,1665,17.7,42.5,1871,165,48.9,24.9,62.9,95.6,2387.0,6.3,85.7,2556.0,,,,,94.8,2256.0,90.3,2427.0,86.0,1515.0,84.9,2478.0,94.0,2362
"Gilbert, Logan",669302,2024,27.4,4.6,626,9,0,3.23,,1995,20.4,58.7,1302,1341,50.6,31.7,67.9,96.6,2034.0,32.3,88.4,1897.0,,,83.2,2278.0,95.6,1958.0,92.3,2244.0,84.5,641.0,,,95.5,2083
"Kershaw, Clayton",477132,2024,18.0,6.8,90,2,0,4.5,,334,13.0,50.0,180,301,55.2,21.7,70.7,89.9,2270.0,43.7,85.9,2436.0,85.1,1917.0,72.0,2236.0,89.8,2158.0,,,83.4,1604.0,,,89.9,2266
"Fitts, Richard",690916,2024,10.6,8.2,62,0,0,1.74,,212,9.1,29.2,140,98,52.2,15.2,62.4,94.5,2436.0,31.2,85.9,2437.0,,,,,,,,,88.7,1155.0,83.7,2455.0,94.5,2436
"Brasier, Ryan",518489,2024,22.7,4.5,84,1,0,3.54,,269,15.6,40.4,220,154,56.1,22.3,71.8,94.5,2231.0,41.2,85.2,2418.0,,,,,94.5,2202.0,90.4,2338.0,,,,,93.6,2247
"Wilson, Justin",458677,2024,24.4,6.2,140,1,0,5.59,,554,20.1,37.1,600,207,52.2,25.1,64.4,95.5,2213.0,25.4,88.4,2347.0,,,,,,,92.3,2382.0,86.9,1414.0,,,94.5,2268
"Santana, Dennis",642701,2024,24.0,7.3,215,3,0,3.89,,745,17.7,47.9,654,359,50.2,28.2,64.1,95.8,2510.0,32.3,87.1,2552.0,88.5,2082.0,83.7,2902.0,95.0,2437.0,90.4,2586.0,,,,,93.8,2519
"Milner, Hoby",571948,2024,23.9,5.2,194,5,0,4.73,,676,16.4,26.3,557,0,51.7,19.3,65.0,88.8,2017.0,,,,81.1,1708.0,,,88.5,1973.0,,,,,79.5,1924.0,88.6,1990
"Neris, Héctor",593576,2024,24.6,10.8,178,10,0,4.1,,651,17.8,42.8,566,34,46.9,25.9,60.8,92.9,2401.0,3.4,85.6,2032.0,,,,,92.8,2277.0,,,82.7,1098.0,,,92.9,2384
"Campbell, Isaiah",663462,2024,16.2,5.4,20,0,0,16.2,,76,11.6,52.9,25,57,48.7,23.3,56.8,93.6,2421.0,47.9,86.7,2687.0,,,,,91.1,2365.0,,,,,81.6,2715.0,93.4,2416
"Zuñiga, Guillo",670871,2024,15.8,10.5,53,0,0,5.09,,162,10.0,50.0,182,59,49.4,20.5,50.7,96.9,2286.0,21.8,86.7,2546.0,88.5,1890.0,,,96.5,2316.0,,,,,,,96.7,2301
"Weathers, Ryan",677960,2024,21.8,6.5,260,5,0,3.63,,887,17.6,45.9,731,9,48.3,26.1,60.5,95.9,2318.0,0.6,90.8,2405.0,86.4,1817.0,,,94.6,2243.0,,,,,82.7,2472.0,95.6,2300
