"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"May, Trevor",543507,2022,27.0,8.1,75,2,0,5.04,,287,23.4,50.9,244,123,49.7,30.4,52.3,96.1,2295.0,26.5,84.8,2425.0,87.3,1696.0,,,,,,,87.2,1113.0,,,96.1,2295
"Voth, Austin",608723,2022,20.4,7.0,305,5,0,4.34,,1117,17.8,43.0,1106,554,49.8,24.6,62.0,93.5,2357.0,,,,,,77.5,2974.0,,,89.5,2440.0,87.2,1925.0,83.7,2741.0,92.1,2385
"Whitlock, Garrett",676477,2022,26.4,4.8,235,4,0,3.45,,793,22.7,49.4,725,195,54.1,29.6,65.9,95.6,2185.0,16.7,83.4,1939.0,84.6,2046.0,,,95.2,2142.0,,,,,81.2,1796.0,95.3,2150
"Ober, Bailey",641927,2022,22.5,4.8,168,2,0,3.21,,571,19.3,44.4,419,302,48.6,27.7,67.8,91.5,2301.0,23.7,82.8,2175.0,84.3,1818.0,76.7,2242.0,,,,,,,,,91.5,2301
"Yacabonis, Jimmy",642231,2022,28.8,13.7,42,1,0,8.36,,176,15.4,47.2,173,0,47.9,26.7,67.1,,,,,,87.7,1797.0,,,93.7,2239.0,,,,,81.6,2788.0,93.7,2239
"Crowe, Wil",640444,2022,20.5,11.4,228,6,0,4.38,,834,17.4,44.3,519,471,42.9,27.5,56.9,95.1,2482.0,31.2,87.6,2779.0,85.9,1740.0,81.6,2463.0,94.4,2267.0,,,,,87.1,2801.0,94.7,2358
"Warren, Art",605521,2022,24.2,13.3,108,2,0,6.5,,405,19.6,57.7,273,382,49.3,29.8,59.1,93.5,2251.0,58.3,85.5,2513.0,,,,,93.3,2134.0,,,,,,,93.5,2250
"Kelly, Merrill",518876,2022,22.0,7.6,601,13,0,3.37,,2011,18.0,35.9,1996,420,49.3,23.6,62.4,92.6,2361.0,0.2,85.0,2416.0,88.6,2158.0,82.2,2550.0,92.5,2206.0,90.8,2332.0,,,,,92.1,2312
"Skubal, Tarik",669373,2022,24.5,6.7,353,7,0,3.52,,1277,18.9,45.4,914,714,52.8,26.4,65.0,94.1,2159.0,30.9,89.3,2119.0,83.6,1599.0,76.9,2230.0,94.8,2050.0,,,,,,,94.4,2111
"Crismatt, Nabil",622503,2022,23.2,7.9,202,5,0,2.94,,699,17.0,43.6,308,221,47.8,26.6,58.6,90.5,2155.0,0.5,84.7,2102.0,82.7,1696.0,73.2,2227.0,89.9,2102.0,,,,,,,90.4,2144
