"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Conforto, Michael",624424,2025,486,418,83,12,1,56,121,0.199,0.305,0.333,0.638,0.134,0.278,0.244,0.43,0.31,0.339,91.3,12.9,11.1,54,36,2025,Conforto,Michael,Michael Conforto,michaelconforto,0.029000000000000026,39.0,0.021999999999999964
"Muncy, Max",571970,2025,388,313,76,19,4,64,83,0.243,0.376,0.47,0.846,0.227,0.291,0.231,0.446,0.34,0.336,91.05,19.6,12.9,48,67,2025,Muncy,Max,Max Muncy,maxmuncy,-0.0040000000000000036,38.74999999999999,0.009000000000000008
"Torkelson, Spencer",679529,2025,649,563,135,31,2,72,169,0.24,0.333,0.456,0.789,0.216,0.28,0.219,0.428,0.326,0.324,90.15,23.1,13.55,82,78,2025,Torkelson,Spencer,Spencer Torkelson,spencertorkelson,-0.0020000000000000018,38.72000000000001,0.019999999999999962
"Stephenson, Tyler",663886,2025,342,299,69,13,0,37,116,0.231,0.316,0.421,0.737,0.19,0.298,0.224,0.422,0.307,0.322,90.65,12.9,12.8,40,50,2025,Stephenson,Tyler,Tyler Stephenson,tylerstephenson,0.015000000000000013,38.640000000000015,0.0020000000000000018
"Mesa Jr., Victor",683748,2026,63,53,9,3,0,9,15,0.17,0.29,0.34,0.63,0.17,0.171,0.263,0.425,0.287,0.353,87.4,16.5,10.3,8,8,2026,Mesa Jr.,Victor,Victor Mesa Jr.,victormesajr,0.066,38.19000000000001,0.12899999999999998
"Schneider, Davis",676914,2025,227,188,44,11,3,36,60,0.234,0.361,0.436,0.797,0.202,0.246,0.172,0.352,0.31,0.296,89.9,24.2,12.85,33,31,2025,Schneider,Davis,Davis Schneider,davisschneider,-0.014000000000000012,37.00000000000001,0.05399999999999999
"Thomas, Colby",687515,2025,132,120,27,6,2,7,49,0.225,0.267,0.417,0.684,0.192,0.288,0.196,0.39,0.273,0.276,91.4,21.2,11.85,20,19,2025,Thomas,Colby,Colby Thomas,colbythomas,0.0030000000000000027,36.860000000000014,0.01200000000000001
"Vientos, Mark",668901,2025,463,424,99,17,1,30,115,0.233,0.289,0.413,0.702,0.18,0.258,0.244,0.445,0.292,0.317,90.35,11.5,10.8,44,61,2025,Vientos,Mark,Mark Vientos,markvientos,0.025000000000000022,36.739999999999995,0.04199999999999998
"O'Neill, Tyler",641933,2025,209,181,36,9,4,22,51,0.199,0.292,0.392,0.684,0.193,0.238,0.22,0.425,0.28,0.322,88.9,22.2,11.0,22,26,2025,O'Neill,Tyler,Tyler O'Neill,tyleroneill,0.04199999999999998,36.70000000000001,0.062
"Sánchez, Gary",596142,2025,101,91,21,5,0,4,27,0.231,0.297,0.418,0.715,0.187,0.246,0.236,0.436,0.332,0.338,90.95,18.4,10.35,13,24,2025,Sánchez,Gary,Gary Sánchez,garysanchez,0.006000000000000005,36.540000000000006,0.05399999999999999
"Carpenter, Kerry",681481,2025,464,433,109,26,1,18,106,0.252,0.291,0.497,0.788,0.245,0.266,0.228,0.443,0.332,0.318,91.15,21.0,11.5,66,62,2025,Carpenter,Kerry,Kerry Carpenter,kerrycarpenter,-0.014000000000000012,36.24000000000001,0.033999999999999975
"Merrill, Jackson",701538,2025,483,440,116,16,1,33,108,0.264,0.317,0.457,0.774,0.193,0.285,0.25,0.456,0.302,0.328,89.85,15.2,11.5,59,67,2025,Merrill,Jackson,Jackson Merrill,jacksonmerrill,0.026000000000000023,36.08999999999999,0.015000000000000013
"Rave, John",670231,2025,175,153,30,4,7,18,46,0.196,0.283,0.307,0.59,0.111,0.279,0.24,0.412,0.307,0.332,90.556,8.4,10.62,18,14,2025,Rave,John,John Rave,johnrave,0.025000000000000022,36.041999999999994,0.020999999999999963
"Durán, Rodolfo",660710,2026,71,63,9,3,0,7,17,0.143,0.239,0.349,0.588,0.206,0.14,0.188,0.361,0.262,0.285,87.3,14.1,10.9,7,7,2026,Durán,Rodolfo,Rodolfo Durán,rodolfoduran,0.022999999999999965,35.93999999999999,0.15999999999999998
"Sánchez, Jesús",660821,2025,497,451,107,14,13,42,110,0.237,0.304,0.395,0.699,0.158,0.304,0.26,0.449,0.315,0.329,91.2,9.3,10.95,61,48,2025,Sánchez,Jesús,Jesús Sánchez,jesussanchez,0.014000000000000012,35.800000000000004,-0.0040000000000000036
"Ramos, Heliot",671218,2025,695,620,159,21,6,52,158,0.256,0.328,0.4,0.728,0.144,0.328,0.256,0.432,0.318,0.322,91.9,11.5,11.3,85,69,2025,Ramos,Heliot,Heliot Ramos,heliotramos,0.0040000000000000036,35.76000000000001,-0.028000000000000025
"Crooks, Jimmy",699625,2026,53,47,8,1,0,5,14,0.17,0.264,0.277,0.541,0.107,0.219,0.247,0.425,0.25,0.334,90.8,12.9,6.3,2,7,2026,Crooks,Jimmy,Jimmy Crooks,jimmycrooks,0.08400000000000002,35.64999999999999,0.08099999999999999
"Bell, Josh",605137,2025,533,468,111,22,0,57,88,0.237,0.325,0.417,0.742,0.18,0.269,0.253,0.454,0.315,0.338,89.85,10.4,10.8,54,63,2025,Bell,Josh,Josh Bell,joshbell,0.02300000000000002,35.44999999999999,0.030999999999999972
"Chaparro, Andrés",665953,2025,73,66,12,1,0,5,22,0.182,0.247,0.258,0.505,0.076,0.228,0.202,0.345,0.246,0.298,88.15,16.5,10.7,4,5,2025,Chaparro,Andrés,Andrés Chaparro,andreschaparro,0.05199999999999999,35.42000000000001,0.07199999999999998
"Hernández, Heriberto",681715,2025,294,256,68,10,1,31,77,0.266,0.347,0.438,0.785,0.172,0.296,0.252,0.454,0.325,0.342,91.1,14.2,10.2,40,45,2025,Hernández,Heriberto,Heriberto Hernández,heribertohernandez,0.017000000000000015,34.999999999999986,0.0040000000000000036
"Barger, Addison",680718,2025,502,460,112,21,4,36,121,0.243,0.301,0.454,0.755,0.211,0.222,0.22,0.384,0.279,0.31,90.944,11.9,8.208,61,74,2025,Barger,Addison,Addison Barger,addisonbarger,0.030999999999999972,34.884,0.07799999999999999
"Rushing, Dalton",687221,2025,155,142,29,4,0,10,58,0.204,0.258,0.324,0.582,0.12,0.296,0.224,0.399,0.3,0.307,89.75,17.2,12.05,15,24,2025,Rushing,Dalton,Dalton Rushing,daltonrushing,0.007000000000000006,34.5,0.0040000000000000036
"Hernández, Enrique",571771,2025,256,232,47,10,0,18,68,0.203,0.255,0.366,0.621,0.163,0.264,0.234,0.431,0.312,0.307,90.356,16.3,11.12,30,35,2025,Hernández,Enrique,Enrique Hernández,enriquehernandez,-0.0050000000000000044,34.49199999999999,0.035999999999999976
"Cowser, Colton",681297,2025,360,327,64,16,14,27,128,0.196,0.269,0.385,0.654,0.189,0.275,0.205,0.414,0.298,0.304,88.4,13.8,12.9,36,40,2025,Cowser,Colton,Colton Cowser,coltoncowser,0.006000000000000005,34.41000000000001,0.024999999999999967
"Ozuna, Marcell",542303,2025,592,487,113,21,0,94,144,0.232,0.355,0.4,0.755,0.168,0.274,0.236,0.436,0.308,0.337,89.75,14.1,10.25,61,68,2025,Ozuna,Marcell,Marcell Ozuna,marcellozuna,0.029000000000000026,34.36,0.025999999999999968
"Huff, Sam",669087,2025,58,53,11,2,0,4,25,0.208,0.259,0.34,0.599,0.132,0.333,0.173,0.29,0.244,0.23,89.576,4.1,14.467,5,4,2025,Huff,Sam,Sam Huff,samhuff,-0.013999999999999985,33.91599999999999,-0.03300000000000003
"Hill, Derek",656537,2025,149,134,29,3,7,9,48,0.216,0.281,0.328,0.609,0.112,0.332,0.233,0.402,0.297,0.302,90.85,6.8,11.55,19,11,2025,Hill,Derek,Derek Hill,derekhill,0.0050000000000000044,33.639999999999986,-0.03200000000000003
"Julien, Edouard",666397,2025,208,182,40,3,0,22,61,0.22,0.309,0.324,0.633,0.104,0.312,0.25,0.417,0.288,0.334,90.35,6.1,9.55,13,12,2025,Julien,Edouard,Edouard Julien,edouardjulien,0.04600000000000004,33.559999999999995,-0.01200000000000001
"Vierling, Matt",663837,2025,100,88,21,1,2,7,24,0.239,0.31,0.307,0.617,0.068,0.264,0.249,0.408,0.272,0.32,89.7,20.4,9.05,6,11,2025,Vierling,Matt,Matt Vierling,mattvierling,0.04799999999999999,33.54,0.035999999999999976
"Hayes, Ke'Bryan",663647,2025,570,527,124,5,12,36,111,0.235,0.29,0.306,0.596,0.071,0.221,0.248,0.376,0.229,0.297,89.9,8.5,7.0,50,49,2025,Hayes,Ke'Bryan,Ke'Bryan Hayes,kebryanhayes,0.06799999999999998,33.13000000000001,0.07899999999999999
"Manzardo, Kyle",700932,2025,531,470,110,27,2,48,135,0.234,0.313,0.455,0.768,0.221,0.292,0.226,0.417,0.326,0.32,89.6,21.3,11.8,47,70,2025,Manzardo,Kyle,Kyle Manzardo,kylemanzardo,-0.006000000000000005,33.11999999999999,0.008000000000000007
"Holliday, Jackson",702616,2025,649,586,142,17,17,56,140,0.242,0.314,0.375,0.689,0.133,0.273,0.228,0.4,0.3,0.314,89.0,8.9,10.7,70,55,2025,Holliday,Jackson,Jackson Holliday,jacksonholliday,0.014000000000000012,32.15,0.02699999999999997
"Outman, James",681546,2025,148,134,18,6,1,12,63,0.134,0.216,0.321,0.537,0.187,0.236,0.159,0.324,0.242,0.25,87.8,18.0,11.85,19,11,2025,Outman,James,James Outman,jamesoutman,0.008000000000000007,32.13999999999999,0.064
"Gray, Tristan",656484,2025,86,78,18,3,0,6,19,0.231,0.282,0.41,0.692,0.179,0.298,0.248,0.414,0.293,0.317,90.2,18.5,9.65,9,9,2025,Gray,Tristan,Tristan Gray,tristangray,0.02400000000000002,32.06000000000001,0.0020000000000000018
"Arias, Gabriel",672356,2025,471,432,95,11,8,27,162,0.22,0.274,0.363,0.637,0.143,0.32,0.205,0.355,0.263,0.263,90.7,6.1,11.2,44,54,2025,Arias,Gabriel,Gabriel Arias,gabrielarias,0.0,32.06,-0.020000000000000018
"Rodríguez, Endy",682848,2025,57,52,9,0,0,5,14,0.173,0.246,0.25,0.496,0.077,0.282,0.223,0.358,0.298,0.306,92.55,15.1,7.65,5,2,2025,Rodríguez,Endy,Endy Rodríguez,endyrodriguez,0.008000000000000007,32.059999999999995,0.018000000000000016
"Wells, Austin",669224,2025,448,401,88,21,5,30,118,0.219,0.275,0.436,0.711,0.217,0.226,0.213,0.374,0.27,0.294,89.95,20.7,8.3,51,71,2025,Wells,Austin,Austin Wells,austinwells,0.023999999999999966,32.00000000000001,0.07399999999999998
"Jeffers, Ryan",680777,2025,464,406,108,9,1,50,91,0.266,0.356,0.397,0.753,0.131,0.316,0.252,0.449,0.37,0.357,90.25,15.0,11.05,47,47,2025,Jeffers,Ryan,Ryan Jeffers,ryanjeffers,-0.013000000000000012,31.9,-0.016000000000000014
"Baty, Brett",683146,2025,432,393,100,18,8,33,108,0.254,0.313,0.435,0.748,0.181,0.301,0.238,0.406,0.297,0.314,89.75,5.8,10.4,53,50,2025,Baty,Brett,Brett Baty,brettbaty,0.017000000000000015,31.89,-0.0010000000000000009
"Benintendi, Andrew",643217,2025,470,420,101,20,1,40,82,0.24,0.307,0.431,0.738,0.191,0.266,0.242,0.433,0.316,0.322,88.8,20.1,10.8,57,63,2025,Benintendi,Andrew,Andrew Benintendi,andrewbenintendi,0.006000000000000005,31.819999999999997,0.033999999999999975
"Mitchell, Garrett",669003,2025,78,68,14,0,3,7,25,0.206,0.286,0.294,0.58,0.088,0.35,0.232,0.381,0.298,0.31,91.45,10.8,10.1,9,3,2025,Mitchell,Garrett,Garrett Mitchell,garrettmitchell,0.01200000000000001,31.760000000000005,-0.04999999999999999
"Mauricio, Ronny",677595,2025,184,168,38,6,4,15,54,0.226,0.293,0.369,0.662,0.143,0.29,0.212,0.358,0.261,0.265,90.88,12.7,9.94,19,10,2025,Mauricio,Ronny,Ronny Mauricio,ronnymauricio,0.0040000000000000036,31.75999999999999,0.010000000000000009
"Jiménez, Leo",677870,2026,92,79,14,0,1,7,21,0.177,0.283,0.203,0.486,0.026,0.237,0.238,0.329,0.237,0.313,90.8,5.3,5.2,7,1,2026,Jiménez,Leo,Leo Jiménez,leojimenez,0.07600000000000001,31.489999999999995,0.063
