Name,Oponente,PA_hist,AVG_hist,K%_hist,xwOBA_hist,EV_hist,Fav_Score,Clasificacion
Charlie Morton,Colorado Rockies,0,,,,,0,🟡 Sin historial
Charlie Morton,Detroit Tigers,0,,,,,0,🟡 Sin historial
Charlie Morton,Houston Astros,0,,,,,0,🟡 Sin historial
Charlie Morton,Kansas City Royals,0,,,,,0,🟡 Sin historial
Charlie Morton,Los Angeles Angels,0,,,,,0,🟡 Sin historial
Charlie Morton,Los Angeles Dodgers,0,,,,,0,🟡 Sin historial
Charlie Morton,Miami Marlins,0,,,,,0,🟡 Sin historial
Charlie Morton,Milwaukee Brewers,0,,,,,0,🟡 Sin historial
Charlie Morton,Minnesota Twins,0,,,,,0,🟡 Sin historial
Charlie Morton,New York Mets,0,,,,,0,🟡 Sin historial
Charlie Morton,New York Yankees,0,,,,,0,🟡 Sin historial
Charlie Morton,Philadelphia Phillies,0,,,,,0,🟡 Sin historial
Charlie Morton,Pittsburgh Pirates,0,,,,,0,🟡 Sin historial
Charlie Morton,San Diego Padres,0,,,,,0,🟡 Sin historial
Charlie Morton,San Francisco Giants,2804,0.216,24.9,0.328,83.3,3,🟢 Favorable
Charlie Morton,Seattle Mariners,0,,,,,0,🟡 Sin historial
Charlie Morton,St. Louis Cardinals,2804,0.216,24.9,0.328,83.3,3,🟢 Favorable
Charlie Morton,Tampa Bay Rays,0,,,,,0,🟡 Sin historial
Charlie Morton,Texas Rangers,2804,0.216,24.9,0.328,83.3,3,🟢 Favorable
Charlie Morton,Toronto Blue Jays,0,,,,,0,🟡 Sin historial
Charlie Morton,Washington Nationals,2804,0.216,24.9,0.328,83.3,3,🟢 Favorable
Brandon Walter,Arizona Diamondbacks,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Athletics,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Atlanta Braves,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Baltimore Orioles,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Boston Red Sox,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Chicago Cubs,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Chicago White Sox,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Cincinnati Reds,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Cleveland Guardians,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Colorado Rockies,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Detroit Tigers,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Houston Astros,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Kansas City Royals,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Los Angeles Angels,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Los Angeles Dodgers,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Miami Marlins,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Milwaukee Brewers,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Minnesota Twins,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,New York Mets,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,New York Yankees,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Philadelphia Phillies,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Pittsburgh Pirates,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,San Diego Padres,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,San Francisco Giants,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Seattle Mariners,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,St. Louis Cardinals,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Tampa Bay Rays,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Texas Rangers,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Toronto Blue Jays,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Brandon Walter,Washington Nationals,318,0.245,21.4,0.296,82.2,5,🟢 Favorable
Connor Gillispie,Arizona Diamondbacks,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Athletics,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Atlanta Braves,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Baltimore Orioles,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Boston Red Sox,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Chicago Cubs,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Chicago White Sox,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Cincinnati Reds,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Cleveland Guardians,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Colorado Rockies,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Detroit Tigers,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Houston Astros,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Kansas City Royals,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Los Angeles Angels,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Los Angeles Dodgers,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Miami Marlins,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Milwaukee Brewers,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Minnesota Twins,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,New York Mets,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,New York Yankees,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Philadelphia Phillies,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Pittsburgh Pirates,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,San Diego Padres,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,San Francisco Giants,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Seattle Mariners,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,St. Louis Cardinals,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Tampa Bay Rays,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Texas Rangers,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Toronto Blue Jays,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Connor Gillispie,Washington Nationals,156,0.231,19.9,0.341,84.6,2,🟡 Normal
Trey Yesavage,Arizona Diamondbacks,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Athletics,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Atlanta Braves,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Baltimore Orioles,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Boston Red Sox,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Chicago Cubs,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Chicago White Sox,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Cincinnati Reds,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Cleveland Guardians,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Colorado Rockies,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Detroit Tigers,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Houston Astros,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Kansas City Royals,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Los Angeles Angels,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Los Angeles Dodgers,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Miami Marlins,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Milwaukee Brewers,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Minnesota Twins,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,New York Mets,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
