"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,walk,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_total_bases,r_total_stolen_base,b_ab_scoring,b_game,b_intent_walk,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,xbadiff,xslgdiff,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Riley, Austin",663586,2024,27,425,469,109,62,26,2,19,37,7.9,0.256,0.461,0.322,0.783,0.205,0.31,56,196,0,105,110,0,,0.265,0.523,0.338,0.367,0.331,0.259,-0.009,-0.062,75.2,53.6,20.2,15.1,32.7,24.4,7.5,24,9.4,-3.5,46.4,32.6,93.3,15.9,37.2,14.9,8.4,53.4
"Kreidler, Ryan",668952,2024,26,59,65,7,6,0,0,1,6,9.2,0.119,0.169,0.2,0.369,0.05,0.154,2,10,5,8,35,0,,0.167,0.25,0.177,0.231,0.244,0.084,-0.048,-0.081,68.5,1.0,4.4,3.0,27.9,19.0,7.2,3,17.9,0.3,54.0,36.1,82.0,13.2,17.5,5.0,2.5,22.5
"Call, Alex",669743,2024,29,99,113,34,22,9,0,3,12,10.6,0.343,0.525,0.425,0.95,0.182,0.403,14,52,5,25,30,0,,0.242,0.375,0.412,0.319,0.336,0.133,0.101,0.15,67.7,3.3,9.7,8.2,33.8,28.4,6.8,6,8.3,3.9,47.0,31.4,88.0,12.5,28.7,5.0,6.3,32.5
"Urshela, Gio",570482,2024,32,432,461,108,79,19,1,9,23,5.0,0.25,0.361,0.286,0.647,0.111,0.278,52,156,0,104,128,1,,0.262,0.4,0.281,0.307,0.301,0.138,-0.012,-0.039,68.2,4.1,9.1,7.4,35.7,28.9,7.1,10,9.2,5.1,49.3,35.0,86.4,10.5,38.6,4.9,5.2,28.4
"Toglia, Michael",669911,2024,25,399,458,87,45,14,3,25,54,11.8,0.218,0.456,0.311,0.767,0.238,0.27,55,182,10,90,116,2,,0.241,0.514,0.329,0.36,0.331,0.273,-0.023,-0.058,73.2,29.3,18.6,12.5,31.8,21.4,7.5,21,15.1,-2.8,40.9,35.4,92.1,15.1,39.2,17.3,8.6,50.2
"Story, Trevor",596115,2024,31,94,106,24,15,7,0,2,11,10.4,0.255,0.394,0.34,0.734,0.139,0.373,10,37,6,28,26,2,,0.193,0.301,0.318,0.259,0.284,0.109,0.062,0.093,68.8,8.1,10.5,7.3,23.3,16.1,7.2,2,9.1,-1.3,54.8,29.5,86.1,18.6,37.7,6.6,3.3,29.5
"Rodríguez, Julio",677594,2024,23,567,613,155,118,17,0,20,38,6.2,0.273,0.409,0.325,0.734,0.136,0.344,68,232,24,129,143,1,,0.274,0.472,0.321,0.348,0.326,0.197,-0.001,-0.063,76.3,63.4,20.6,14.5,29.6,20.8,7.9,30,8.1,-2.9,47.2,33.0,91.7,10.5,33.2,10.2,6.1,48.4
"Higashioka, Kyle",543309,2024,34,246,263,54,26,10,1,17,15,5.7,0.22,0.476,0.263,0.739,0.256,0.237,45,117,2,74,84,0,,0.216,0.434,0.314,0.299,0.261,0.218,0.004,0.042,71.8,17.1,13.7,10.7,31.4,24.4,7.3,12,13.2,-9.3,61.6,32.3,88.4,20.7,40.2,10.9,9.2,37.4
"Drury, Brandon",592273,2024,31,325,360,55,44,7,0,4,27,7.5,0.169,0.228,0.242,0.47,0.059,0.21,15,74,1,72,97,0,,0.201,0.295,0.217,0.264,0.275,0.094,-0.032,-0.067,72.6,23.1,12.0,9.6,28.1,22.6,7.4,16,8.0,2.8,55.9,31.6,87.6,6.0,25.9,3.6,6.1,35.6
"Tromp, Chadwick",644433,2024,29,52,54,13,7,6,0,0,1,1.9,0.25,0.365,0.259,0.624,0.115,0.361,6,19,0,10,19,0,,0.242,0.336,0.266,0.257,0.252,0.094,0.008,0.029,72.7,33.8,10.0,6.3,34.0,21.3,7.9,1,13.2,-12.1,60.0,29.7,88.1,6.0,38.9,2.8,8.3,36.1
"Pagés, Pedro",686780,2024,25,202,218,48,36,3,2,7,13,6.0,0.238,0.376,0.281,0.657,0.138,0.295,27,76,2,49,68,0,,0.223,0.354,0.286,0.283,0.273,0.131,0.015,0.022,72.0,23.7,11.8,8.8,28.2,21.0,6.9,8,5.7,1.5,38.0,31.0,89.0,11.8,32.0,4.8,8.2,40.4
"McMahon, Ryan",641857,2024,29,567,645,137,89,28,0,20,69,10.7,0.242,0.397,0.325,0.722,0.155,0.32,65,225,4,130,153,4,,0.238,0.421,0.315,0.327,0.324,0.183,0.004,-0.024,72.5,26.3,16.4,11.7,31.4,22.4,7.2,28,8.8,4.5,41.3,38.1,92.1,10.0,36.5,10.9,7.0,49.7
"Bell, Josh",605137,2024,31,538,603,134,90,23,2,19,51,8.5,0.249,0.405,0.319,0.724,0.156,0.286,71,218,0,114,145,1,,0.233,0.402,0.317,0.312,0.306,0.169,0.016,0.003,70.4,15.0,15.4,11.6,36.1,27.3,7.9,15,9.2,1.3,53.5,35.1,88.9,10.5,31.4,7.6,6.2,40.1
"McCutchen, Andrew",457705,2024,37,448,515,104,65,18,1,20,58,11.3,0.232,0.411,0.328,0.739,0.179,0.283,50,184,3,93,120,1,,0.219,0.421,0.325,0.325,0.317,0.201,0.013,-0.01,72.7,25.3,14.9,11.1,31.2,23.2,7.6,11,12.7,-0.2,56.4,33.4,88.5,14.3,31.9,12.0,5.7,36.9
"Bauers, Jake",641343,2024,28,302,346,60,37,9,2,12,39,11.3,0.199,0.361,0.301,0.662,0.162,0.279,43,109,13,90,116,1,,0.2,0.391,0.294,0.305,0.302,0.191,-0.001,-0.03,73.8,30.8,11.0,8.2,23.7,17.6,7.5,14,13.7,-4.5,48.8,35.7,89.4,22.6,38.6,10.3,9.2,42.9
"Abrams, CJ",682928,2024,23,541,602,133,78,29,6,20,40,6.6,0.246,0.433,0.314,0.747,0.187,0.285,65,234,31,122,138,3,,0.243,0.413,0.322,0.32,0.314,0.169,0.003,0.02,72.2,23.9,13.5,10.4,31.9,24.7,7.5,32,12.4,-3.0,61.9,29.0,88.2,15.1,33.0,6.9,9.6,40.7
"Stanton, Giancarlo",519317,2024,34,417,459,97,50,20,0,27,38,8.3,0.233,0.475,0.298,0.773,0.242,0.281,72,198,0,108,114,2,,0.243,0.52,0.33,0.354,0.309,0.278,-0.01,-0.045,81.2,98.6,27.5,18.6,29.8,20.2,8.6,13,8.7,-2.7,60.4,26.2,94.6,14.7,34.8,20.7,6.5,55.3
"Julks, Corey",667452,2024,28,173,189,37,27,7,0,3,15,7.9,0.214,0.306,0.275,0.581,0.092,0.281,14,53,5,31,66,0,,0.214,0.315,0.26,0.27,0.279,0.101,0.0,-0.009,70.7,8.9,9.1,6.7,27.6,20.4,7.0,3,9.1,-4.0,56.4,34.3,84.9,15.0,33.9,3.2,4.8,29.0
"Lux, Gavin",666158,2024,26,439,487,110,74,24,2,10,44,9.0,0.251,0.383,0.32,0.703,0.132,0.312,50,168,5,113,139,0,,0.254,0.39,0.31,0.319,0.325,0.136,-0.003,-0.007,71.2,15.6,13.9,10.9,32.6,25.6,7.3,18,10.1,3.8,48.0,33.2,88.3,9.1,35.0,6.0,7.3,41.1
"Ford, Mike",645801,2024,31,60,62,9,7,0,1,1,2,3.2,0.15,0.233,0.177,0.41,0.083,0.182,4,14,0,17,17,0,,0.205,0.306,0.18,0.237,0.231,0.101,-0.055,-0.073,69.8,11.0,11.3,9.0,31.3,25.0,6.9,4,11.4,-5.2,58.0,27.0,86.4,17.5,28.9,2.2,4.4,33.3
"Cabrera, Oswaldo",665828,2024,25,299,326,74,55,11,0,8,21,6.4,0.247,0.365,0.296,0.661,0.118,0.286,36,109,4,80,108,0,,0.248,0.347,0.29,0.291,0.301,0.1,-0.001,0.018,68.3,1.7,10.0,8.1,34.1,27.7,7.0,3,6.4,-2.2,44.8,31.1,88.2,12.5,34.0,3.7,5.8,34.9
"Acuña, Luisangel",682668,2024,22,39,40,12,6,2,1,3,1,2.5,0.308,0.641,0.325,0.966,0.333,0.3,6,25,0,5,14,0,,0.264,0.428,0.406,0.307,0.283,0.164,0.044,0.213,73.6,39.7,20.8,16.2,30.2,23.5,7.3,0,3.3,8.0,33.8,24.9,91.0,10.3,30.3,9.1,3.0,45.5
"Raley, Luke",670042,2024,29,404,455,98,55,19,2,22,27,5.9,0.243,0.463,0.32,0.783,0.22,0.305,58,187,11,91,137,0,,0.22,0.433,0.339,0.321,0.301,0.213,0.023,0.03,75.0,50.8,16.8,11.4,27.0,18.4,7.2,16,13.2,-4.1,61.8,31.5,90.1,13.5,31.5,11.0,8.1,41.8
"Kepler, Max",596146,2024,31,368,399,93,63,21,1,8,22,5.5,0.253,0.38,0.302,0.682,0.127,0.3,42,140,1,106,105,0,,0.243,0.384,0.298,0.302,0.298,0.14,0.01,-0.004,71.4,19.4,13.7,10.7,32.8,25.5,7.5,15,7.1,-8.8,44.1,31.1,88.9,16.8,35.4,6.2,7.2,36.8
"Herrera, Jose",645444,2024,27,97,114,22,16,4,1,1,9,7.9,0.227,0.32,0.29,0.61,0.093,0.3,13,31,0,22,42,0,,0.215,0.28,0.271,0.26,0.282,0.065,0.012,0.04,66.5,1.1,6.8,5.2,33.3,25.3,7.0,4,8.9,-6.9,48.9,34.6,84.5,9.0,34.6,0.0,7.7,23.1
"Gamel, Ben",592325,2024,32,81,99,20,15,4,0,1,18,18.2,0.247,0.333,0.384,0.717,0.086,0.339,4,27,1,16,38,1,,0.254,0.38,0.327,0.345,0.39,0.126,-0.007,-0.047,70.5,10.8,15.9,10.8,45.5,30.8,7.3,3,12.1,-5.0,40.8,33.8,89.1,12.8,47.4,10.5,1.8,36.8
"Toro, Abraham",647351,2024,27,337,364,81,57,17,1,6,20,5.5,0.24,0.35,0.293,0.643,0.11,0.279,26,118,4,55,94,1,,0.244,0.374,0.283,0.297,0.297,0.13,-0.004,-0.024,69.6,10.7,10.7,8.9,36.2,29.9,7.6,4,9.7,-2.9,56.6,31.9,87.2,12.2,33.2,4.3,5.4,29.6
"Alvarez, Francisco",682626,2024,22,308,342,73,46,14,2,11,30,8.8,0.237,0.403,0.307,0.71,0.166,0.291,47,124,1,93,100,0,,0.218,0.372,0.31,0.297,0.291,0.154,0.019,0.031,73.5,37.3,16.5,12.0,31.3,22.8,7.2,8,4.2,-3.3,42.3,26.0,88.8,6.9,27.2,6.7,6.7,42.0
"Nootbaar, Lars",663457,2024,26,348,405,85,52,18,3,12,52,12.8,0.244,0.417,0.342,0.759,0.173,0.281,45,145,7,88,109,2,,0.261,0.466,0.331,0.358,0.356,0.206,-0.017,-0.049,72.6,28.2,21.4,17.8,37.3,31.0,6.8,15,8.2,0.2,49.5,29.9,91.8,6.0,32.2,9.9,8.1,49.5
"Sosa, Lenyn",672820,2024,24,351,369,89,68,13,0,8,12,3.3,0.254,0.359,0.283,0.642,0.105,0.303,35,126,3,76,100,1,,0.276,0.432,0.28,0.321,0.307,0.156,-0.022,-0.073,71.7,17.0,12.5,10.1,33.3,26.9,7.4,6,8.1,3.6,48.9,33.6,89.0,12.3,42.2,6.1,9.0,41.2
"Encarnacion-Strand, Christian",687952,2024,24,116,123,22,14,6,0,2,4,3.3,0.19,0.293,0.22,0.513,0.103,0.247,16,34,0,40,29,0,,0.238,0.439,0.223,0.301,0.266,0.201,-0.048,-0.146,71.3,15.6,12.6,9.6,29.1,22.2,7.2,1,15.4,-0.7,58.7,38.1,87.8,15.5,27.7,8.4,4.8,37.3
"Trevino, Jose",624431,2024,31,209,234,45,32,5,0,8,20,8.5,0.215,0.354,0.288,0.642,0.139,0.228,28,74,1,45,73,0,,0.2,0.316,0.284,0.269,0.276,0.115,0.015,0.038,68.9,3.7,11.8,9.8,41.1,34.0,7.0,2,8.2,-1.7,70.7,21.9,88.1,9.9,26.9,5.3,3.5,35.1
"Blackmon, Charlie",453568,2024,37,449,499,115,74,24,5,12,43,8.6,0.256,0.412,0.329,0.741,0.156,0.293,52,185,6,99,124,2,,0.246,0.374,0.323,0.309,0.32,0.127,0.01,0.038,67.4,2.4,6.6,5.4,29.3,23.8,7.1,5,9.6,-5.8,55.7,31.1,84.8,16.3,34.1,5.2,4.4,27.2
"Steer, Spencer",668715,2024,26,574,656,129,71,34,4,20,72,11.0,0.225,0.402,0.319,0.721,0.177,0.26,92,231,25,154,158,1,,0.234,0.392,0.316,0.321,0.327,0.159,-0.009,0.01,71.6,13.6,12.7,10.0,32.5,25.6,7.4,21,9.3,-5.6,53.1,28.7,88.0,17.4,34.2,6.4,7.7,39.9
"Jung, Josh",673962,2024,26,178,188,47,34,5,1,7,8,4.3,0.264,0.421,0.298,0.719,0.157,0.323,16,75,4,36,46,0,,0.24,0.409,0.311,0.296,0.276,0.169,0.024,0.012,72.0,14.6,10.7,7.5,35.5,25.0,7.2,5,13.2,-0.1,60.4,36.8,86.2,12.2,38.2,9.9,4.6,39.7
"Kemp, Tony",643393,2024,32,9,10,0,0,0,0,0,1,10.0,0.0,0.0,0.1,0.1,0.0,0.0,0,0,0,3,5,0,,0.134,0.181,0.069,0.194,0.22,0.047,-0.134,-0.181,62.6,0.0,0.0,0.0,50.0,37.5,6.6,1,12.7,-4.5,50.0,33.1,82.8,17.6,25.0,0.0,0.0,12.5
"Urías, Luis",649966,2024,27,94,109,18,7,7,0,4,9,8.3,0.191,0.394,0.303,0.697,0.203,0.25,16,37,0,20,41,0,,0.199,0.399,0.309,0.314,0.309,0.2,-0.008,-0.005,68.3,4.9,9.6,7.4,28.0,21.6,7.7,1,17.7,-5.4,57.4,30.2,87.1,19.2,43.3,11.7,6.7,35.0
"Lockridge, Brandon",663604,2024,27,12,12,2,1,0,0,1,0,0.0,0.167,0.417,0.167,0.584,0.25,0.143,1,5,2,2,12,0,,0.152,0.281,0.244,0.186,0.152,0.129,0.015,0.136,70.9,4.8,20.0,14.3,33.3,23.8,6.9,0,4.4,-1.2,28.6,31.4,90.9,18.0,12.5,12.5,0.0,50.0
"Walsh, Jared",665120,2024,30,53,60,12,9,2,0,1,7,11.7,0.226,0.321,0.317,0.638,0.095,0.355,7,17,0,16,17,0,,0.243,0.411,0.289,0.328,0.331,0.169,-0.017,-0.09,75.0,50.8,12.5,6.8,28.1,15.3,7.6,1,12.3,5.2,64.4,32.9,84.2,21.5,40.6,9.4,3.1,31.3
"Whitcomb, Shay",694376,2024,25,41,46,9,6,3,0,0,5,10.9,0.22,0.293,0.304,0.597,0.073,0.273,5,12,0,7,20,0,,0.276,0.416,0.272,0.341,0.354,0.141,-0.056,-0.123,70.4,6.9,14.5,12.5,25.8,22.2,7.4,2,9.5,1.5,65.3,28.8,88.8,18.1,39.4,6.1,6.1,42.4
"Iglesias, Jose",578428,2024,34,270,291,91,70,16,1,4,12,4.1,0.337,0.448,0.381,0.829,0.111,0.382,26,121,6,56,85,1,,0.284,0.37,0.362,0.316,0.334,0.086,0.053,0.078,69.8,9.2,8.4,7.2,33.0,28.5,6.8,7,5.5,-1.5,42.3,31.8,85.8,9.0,36.2,2.2,4.3,30.6
"Castro, Willi",650489,2024,27,558,635,138,90,31,5,12,51,8.0,0.247,0.385,0.331,0.716,0.138,0.315,60,215,14,132,158,0,,0.242,0.39,0.317,0.323,0.33,0.147,0.005,-0.005,70.6,15.5,12.0,8.7,29.0,21.0,7.1,18,9.1,-5.9,45.9,37.1,87.4,13.6,39.0,7.0,8.0,36.8
"Morel, Christopher",666624,2024,25,535,611,105,70,11,3,21,61,10.0,0.196,0.346,0.288,0.634,0.15,0.233,60,185,8,122,152,3,,0.222,0.401,0.28,0.316,0.313,0.18,-0.026,-0.055,76.1,64.7,17.6,11.7,30.2,20.1,8.0,24,13.1,-5.8,73.5,27.3,89.2,14.2,27.6,10.2,4.5,40.4
"Allen, Nick",669397,2024,25,97,105,17,12,4,0,1,5,4.8,0.175,0.247,0.216,0.463,0.072,0.211,4,24,0,15,41,0,,0.202,0.248,0.207,0.224,0.241,0.046,-0.027,-0.001,65.0,0.0,4.6,3.9,35.8,30.7,6.5,7,5.8,-4.7,50.4,27.7,84.4,8.9,25.0,1.3,0.0,17.5
"Valdez, Enmanuel",665839,2024,25,201,223,43,25,12,0,6,17,7.6,0.214,0.363,0.27,0.633,0.149,0.253,28,73,1,64,76,0,,0.231,0.418,0.275,0.308,0.289,0.187,-0.017,-0.055,70.4,10.5,11.0,8.6,32.5,25.6,7.5,2,10.8,-5.2,63.3,28.8,89.4,19.3,32.0,9.2,5.9,41.8
"Julien, Edouard",666397,2024,25,266,301,53,36,9,0,8,33,11.0,0.199,0.323,0.292,0.615,0.124,0.288,21,86,6,39,94,0,,0.193,0.355,0.278,0.288,0.287,0.162,0.006,-0.032,71.9,17.0,12.7,9.0,28.2,20.0,7.1,10,16.6,8.9,44.8,44.2,87.8,11.9,38.4,9.8,7.9,37.8
"Myers, Dane",667472,2024,28,95,108,25,15,6,1,3,8,7.4,0.263,0.442,0.333,0.775,0.179,0.379,19,42,4,23,44,0,,0.23,0.394,0.335,0.313,0.308,0.164,0.033,0.048,71.2,15.8,13.4,9.5,36.6,25.9,7.2,1,8.5,5.3,48.1,30.5,89.9,11.4,32.8,11.5,1.6,47.5
