yahoo_name,yahoo_norm,position,status,ownership
Tsung-Che Cheng,tsungchecheng,"2B,3B,SS",active,freeagent
Ryan Fernandez,ryanfernandez,RP,active,freeagent
Justin Slaten,justinslaten,RP,active,freeagent
Yuki Matsui,yukimatsui,RP,active,freeagent
Joey Loperfido,joeyloperfido,OF,active,freeagent
Luinder Avila,luinderavila,"SP,RP",active,freeagent
Zebby Matthews,zebbymatthews,SP,active,freeagent
Andrew Morris,andrewmorris,"SP,RP",active,freeagent
Sam Aldegheri,samaldegheri,SP,active,freeagent
Grant Wolfram,grantwolfram,RP,active,freeagent
Justin Sterner,justinsterner,RP,active,freeagent
Julian Garcia,juliangarcia,RP,active,freeagent
AJ Blubaugh,ajblubaugh,"SP,RP",active,freeagent
Alec Gamboa,alecgamboa,RP,active,freeagent
Ryan Gusto,ryangusto,"SP,RP",active,freeagent
Paul Gervase,paulgervase,RP,active,freeagent
Nick Davila,nickdavila,RP,active,freeagent
Andrew Alvarez,andrewalvarez,"SP,RP",active,freeagent
Robby Ahlstrom,robbyahlstrom,RP,active,freeagent
Peyton Gray,peytongray,RP,active,freeagent
Bryan King,bryanking,RP,active,freeagent
Brandyn Garcia,brandyngarcia,RP,active,freeagent
Sung-Mun Song,sungmunsong,"2B,3B",active,freeagent
Bryan Torres,bryantorres,"2B,OF",active,freeagent
Pedro Ramirez,pedroramirez,"2B,3B",active,freeagent
Zach Agnos,zachagnos,RP,active,freeagent
Braden Montgomery,bradenmontgomery,OF,active,freeagent
Cam Smith,camsmith,OF,active,freeagent
Ryan Johnson,ryanjohnson,"SP,RP",active,freeagent
Joshua Kuroda-Grauer,joshuakurodagrauer,SS,active,freeagent
Sean Keys,seankeys,"1B,3B",active,freeagent
Orlando Ribalta,orlandoribalta,RP,active,freeagent
Travis Adams,travisadams,"SP,RP",active,freeagent
Tomoyuki Sugano,tomoyukisugano,SP,active,freeagent
Mitch Farris,mitchfarris,"SP,RP",active,freeagent
Bradgley Rodriguez,bradgleyrodriguez,"SP,RP",active,freeagent
Spencer Miles,spencermiles,"SP,RP",active,freeagent
Samy Natera Jr.,samynaterajr,RP,active,freeagent
José Fermin,josefermin,RP,active,freeagent
Brad Lord,bradlord,"SP,RP",active,freeagent
Ben Peoples,benpeoples,RP,active,freeagent
Drew Sommers,drewsommers,RP,active,freeagent
Jose Cabrera,josecabrera,SP,active,freeagent
Cameron Weston,cameronweston,"SP,RP",active,freeagent
Ryan Harbin,ryanharbin,RP,IL7,freeagent
Jim Jarvis,jimjarvis,SS,active,freeagent
Anthony Nunez,anthonynunez,RP,active,freeagent
Riley Cornelio,rileycornelio,SP,active,freeagent
Drew Cavanaugh,drewcavanaugh,C,active,freeagent
Gavin Collyer,gavincollyer,RP,active,freeagent
Mike Paredes,mikeparedes,"SP,RP",active,freeagent
Michael Lorenzen (Batter),michaellorenzen,OF,active,freeagent
