yahoo_name,yahoo_norm,position,status,ownership
Taylor Trammell,taylortrammell,OF,active,freeagent
Aaron Civale,aaroncivale,"SP,RP",active,freeagent
Ryan Vilade,ryanvilade,"1B,OF",active,freeagent
Gavin Sheets,gavinsheets,"1B,OF",active,freeagent
Jo Adell,joadell,OF,active,freeagent
Griffin Canning,griffincanning,SP,active,freeagent
Dustin May,dustinmay,SP,DTD,freeagent
Keibert Ruiz,keibertruiz,C,active,freeagent
Jake Rogers,jakerogers,C,active,freeagent
Dennis Santana,dennissantana,RP,active,freeagent
Andrés Giménez,andresgimenez,"2B,SS",active,freeagent
David Peterson,davidpeterson,"SP,RP",active,freeagent
Mark Vientos,markvientos,"1B,3B",active,freeagent
JoJo Romero,jojoromero,RP,active,freeagent
Jordan Hicks,jordanhicks,"SP,RP",active,freeagent
Jesús Sánchez,jesussanchez,OF,IL10,freeagent
Danny Jansen,dannyjansen,C,IL10,freeagent
Nate Pearson,natepearson,RP,active,freeagent
Tyler Kinley,tylerkinley,RP,active,freeagent
Tim Hill,timhill,RP,active,freeagent
Trevor Richards,trevorrichards,RP,active,freeagent
Isiah Kiner-Falefa,isiahkinerfalefa,"2B,3B,SS",IL10,freeagent
Lou Trivino,loutrivino,RP,active,freeagent
Seranthony Domínguez,seranthonydominguez,RP,active,freeagent
Caleb Ferguson,calebferguson,RP,active,freeagent
Jonathan Loáisiga,jonathanloaisiga,RP,active,freeagent
Jose Trevino,josetrevino,C,active,freeagent
Enyel De Los Santos,enyeldelossantos,RP,active,freeagent
Matt Festa,mattfesta,RP,active,freeagent
Miguel Amaya,miguelamaya,C,active,freeagent
Eric Haase,erichaase,C,active,freeagent
Nathaniel Lowe,nathaniellowe,1B,active,freeagent
Joey Bart,joeybart,C,active,freeagent
Joey Meneses,joeymeneses,1B,active,freeagent
Zac Gallen,zacgallen,SP,active,freeagent
Jeff McNeil,jeffmcneil,"2B,OF",active,freeagent
Jeffrey Springs,jeffreysprings,SP,active,freeagent
Myles Straw,mylesstraw,OF,active,freeagent
LaMonte Wade Jr.,lamontewadejr,"1B,OF",IL10,freeagent
Jacob Webb,jacobwebb,RP,active,freeagent
Jimmy Herget,jimmyherget,"SP,RP",active,freeagent
Sam Hentges,samhentges,RP,active,freeagent
Justin Lawrence,justinlawrence,RP,active,freeagent
Bryan Abreu,bryanabreu,RP,active,freeagent
José Suarez,josesuarez,RP,active,freeagent
JT Brubaker,jtbrubaker,RP,active,freeagent
Ty France,tyfrance,1B,active,freeagent
Lane Thomas,lanethomas,OF,active,freeagent
Brock Burke,brockburke,RP,active,freeagent
Trent Thornton,trentthornton,RP,active,freeagent
Jacob Waguespack,jacobwaguespack,RP,active,freeagent
Michael Rucker,michaelrucker,RP,active,freeagent
TJ Friedl,tjfriedl,OF,active,freeagent
Ryan Rolison,ryanrolison,RP,active,freeagent
Cristian Javier,cristianjavier,SP,active,freeagent
Nicky Lopez,nickylopez,"2B,3B,SS",active,freeagent
Daniel Lynch IV,daniellynchiv,RP,active,freeagent
Brady Singer,bradysinger,SP,active,freeagent
Jeremiah Jackson,jeremiahjackson,"2B,3B,OF",active,freeagent
Trevor Larnach,trevorlarnach,OF,active,freeagent
Luke Raley,lukeraley,"1B,OF",active,freeagent
Francisco Alvarez,franciscoalvarez,C,active,freeagent
Ronny Mauricio,ronnymauricio,"2B,3B,SS",active,freeagent
Luis Medina,luismedina,"SP,RP",active,freeagent
Anthony Seigler,anthonyseigler,"2B,3B",active,freeagent
Garrett Whitlock,garrettwhitlock,RP,active,freeagent
Nick Allen,nickallen,"2B,SS",active,freeagent
Alec Bohm,alecbohm,"1B,3B",active,freeagent
Esteury Ruiz,esteuryruiz,OF,active,freeagent
Matthew Liberatore,matthewliberatore,SP,active,freeagent
Tyler Phillips,tylerphillips,"SP,RP",active,freeagent
Eli White,eliwhite,OF,active,freeagent
Cole Winn,colewinn,RP,active,freeagent
Blaze Alexander,blazealexander,"2B,3B,SS,OF",active,freeagent
Dean Kremer,deankremer,SP,active,freeagent
Nelson Velázquez,nelsonvelazquez,OF,active,freeagent
Raynel Delgado,rayneldelgado,"2B,3B,SS",DTD,freeagent
Brayan Rocchio,brayanrocchio,"2B,SS",active,freeagent
Rico Garcia,ricogarcia,RP,active,freeagent
Kyle Isbel,kyleisbel,OF,IL10,freeagent
Blake Perkins,blakeperkins,OF,active,freeagent
Braydon Fisher,braydonfisher,"SP,RP",active,freeagent
Connor Wong,connorwong,C,active,freeagent
Aaron Ashby,aaronashby,RP,active,freeagent
Everson Pereira,eversonpereira,OF,IL7,freeagent
Gabriel Arias,gabrielarias,"2B,3B,SS",active,freeagent
Luis Campusano,luiscampusano,C,active,freeagent
Noelvi Marte,noelvimarte,"3B,OF",active,freeagent
Camilo Doval,camilodoval,RP,active,freeagent
Griffin Conine,griffinconine,OF,active,freeagent
Leo Jiménez,leojimenez,"2B,3B",active,freeagent
Jake Fraley,jakefraley,OF,IL10,freeagent
Joey Gerber,joeygerber,"SP,RP",active,freeagent
Josh Rojas,joshrojas,"2B,3B",active,freeagent
Kevin Ginkel,kevinginkel,RP,active,freeagent
Randy Dobnak,randydobnak,"SP,RP",active,freeagent
John Schreiber,johnschreiber,RP,active,freeagent
Joel Kuhnel,joelkuhnel,RP,active,freeagent
Tyler Rogers,tylerrogers,RP,active,freeagent
Cole Sulser,colesulser,RP,active,freeagent
