yahoo_name,yahoo_norm
Wyatt Langford,wyatt langford
Brandon Nimmo,brandon nimmo
Bryan Reynolds,bryan reynolds
Mookie Betts,mookie betts
Corey Seager,corey seager
Tyler Soderstrom,tyler soderstrom
Chase DeLauter,chase delauter
Andrew Painter,andrew painter
David Peterson,david peterson
Ryan Helsley,ryan helsley
Griffin Jax,griffin jax
Shane McClanahan,shane mcclanahan
Cade Horton,cade horton
Bryan Abreu,bryan abreu
Emmet Sheehan,emmet sheehan
Ryan Weathers,ryan weathers
Pete Fairbanks,pete fairbanks
Blake Snell,blake snell
Hunter Goodman,hunter goodman
Alec Burleson,alec burleson
Maikel Garcia,maikel garcia
José Ramírez,jose ramirez
Trea Turner,trea turner
Corbin Carroll,corbin carroll
Jo Adell,jo adell
Brenton Doyle,brenton doyle
Jakob Marsee,jakob marsee
Andy Pages,andy pages
Dansby Swanson,dansby swanson
Logan Webb,logan webb
George Kirby,george kirby
Chase Burns,chase burns
Garrett Whitlock,garrett whitlock
Jacob Misiorowski,jacob misiorowski
Robbie Ray,robbie ray
Jameson Taillon,jameson taillon
Brady Singer,brady singer
Cody Ponce,cody ponce
Mike Burrows,mike burrows
Reid Detmers,reid detmers
Nick Lodolo,nick lodolo
Samuel Basallo,samuel basallo
Rafael Devers,rafael devers
Brandon Lowe,brandon lowe
Addison Barger,addison barger
Kevin McGonigle,kevin mcgonigle
Juan Soto,juan soto
Randy Arozarena,randy arozarena
Justin Crawford,justin crawford
Vinnie Pasquantino,vinnie pasquantino
Noelvi Marte,noelvi marte
Ezequiel Tovar,ezequiel tovar
Kyle Stowers,kyle stowers
Yoshinobu Yamamoto,yoshinobu yamamoto
Hunter Brown,hunter brown
Daniel Palencia,daniel palencia
Kenley Jansen,kenley jansen
Nolan McLean,nolan mclean
Gavin Williams,gavin williams
Ryan Walker,ryan walker
Nathan Eovaldi,nathan eovaldi
Max Fried,max fried
Brandon Woodruff,brandon woodruff
