Name,Señales,Score_Explosion,Detalle,ERA,xERA,xwOBA,EV,diff_era
Drew Sommers,4,11,ERA 6.00 pero xERA 2.53 — diferencia +3.47 | xwOBA élite 0.249 — domina contacto | EV permitida baja 85.5 mph | xBA permitida muy baja 0.178,6.0,2.53,0.249,85.5,3.47
Woo-Suk Go,4,11,ERA 9.00 pero xERA 1.69 — diferencia +7.31 | xwOBA élite 0.202 — domina contacto | EV permitida baja 85.1 mph | xBA permitida muy baja 0.132,9.0,1.69,0.202,85.1,7.31
Mason Fluharty,4,11,ERA 4.58 pero xERA 2.87 — diferencia +1.71 | xwOBA élite 0.265 — domina contacto | EV permitida baja 85.5 mph | xBA permitida muy baja 0.196,4.58,2.87,0.265,85.5,1.71
Samy Natera Jr.,4,10,ERA 3.38 pero xERA 2.15 — diferencia +1.23 | xwOBA élite 0.229 — domina contacto | EV permitida baja 86.9 mph | xBA permitida muy baja 0.136,3.38,2.15,0.229,86.9,1.23
Jeff Hoffman,4,10,ERA 4.35 pero xERA 2.92 — diferencia +1.43 | xwOBA élite 0.267 — domina contacto | EV permitida baja 86.9 mph | xBA permitida muy baja 0.200,4.35,2.92,0.267,86.9,1.43
Ryan Yarbrough,4,10,ERA 4.17 pero xERA 3.10 — diferencia +1.07 | xwOBA élite 0.275 — domina contacto | EV permitida baja 84.0 mph | xBA permitida muy baja 0.212,4.17,3.1,0.275,84.0,1.07
Jacob Lopez,3,8,ERA 7.04 pero xERA 3.88 — diferencia +3.16 | EV permitida baja 85.0 mph | xBA permitida muy baja 0.229,7.04,3.88,0.306,85.0,3.16
Cade Gibson,3,8,ERA 6.00 pero xERA 3.59 — diferencia +2.41 | xwOBA bajo 0.295 | EV permitida baja 86.8 mph,6.0,3.59,0.295,86.8,2.41
Craig Yoho,3,8,xwOBA élite 0.256 — domina contacto | EV permitida baja 86.1 mph | xBA permitida muy baja 0.178,3.6,2.68,0.256,86.1,0.92
Justin Slaten,3,8,ERA 5.82 pero xERA 3.10 — diferencia +2.72 | xwOBA élite 0.275 — domina contacto | xBA permitida muy baja 0.229,5.82,3.1,0.275,88.9,2.72
Riley Cornelio,3,8,ERA 7.82 pero xERA 4.43 — diferencia +3.39 | EV permitida baja 86.2 mph | xBA permitida muy baja 0.212,7.82,4.43,0.325,86.2,3.39
Jonathan Bowlan,3,8,xwOBA élite 0.244 — domina contacto | EV permitida baja 86.6 mph | xBA permitida muy baja 0.199,3.14,2.43,0.244,86.6,0.71
Andrew Morris,3,8,xwOBA élite 0.270 — domina contacto | EV permitida baja 86.2 mph | xBA permitida muy baja 0.221,3.64,2.98,0.27,86.2,0.66
Edgardo Henriquez,3,8,xwOBA élite 0.243 — domina contacto | EV permitida baja 82.9 mph | xBA permitida muy baja 0.175,2.43,2.41,0.243,82.9,0.02
Adrian Morejon,3,8,xwOBA élite 0.248 — domina contacto | EV permitida baja 85.8 mph | xBA permitida muy baja 0.213,3.45,2.51,0.248,85.8,0.94
Tyler Kinley,3,8,xwOBA élite 0.267 — domina contacto | EV permitida baja 84.3 mph | xBA permitida muy baja 0.188,3.62,2.92,0.267,84.3,0.7
Dylan Lee,3,8,xwOBA élite 0.214 — domina contacto | EV permitida baja 86.7 mph | xBA permitida muy baja 0.178,1.52,1.88,0.214,86.7,-0.36
Tyron Guerrero,3,8,xwOBA élite 0.252 — domina contacto | EV permitida baja 85.4 mph | xBA permitida muy baja 0.207,2.45,2.59,0.252,85.4,-0.14
Juan Morillo,3,8,xwOBA élite 0.245 — domina contacto | EV permitida baja 86.2 mph | xBA permitida muy baja 0.185,3.06,2.45,0.245,86.2,0.61
Steven Okert,3,8,xwOBA élite 0.253 — domina contacto | EV permitida baja 86.7 mph | xBA permitida muy baja 0.184,2.42,2.61,0.253,86.7,-0.19
Peyton Gray,3,8,xwOBA élite 0.273 — domina contacto | EV permitida baja 86.8 mph | xBA permitida muy baja 0.226,3.27,3.05,0.273,86.8,0.22
Huascar Brazobán,3,8,xwOBA élite 0.267 — domina contacto | EV permitida baja 83.4 mph | xBA permitida muy baja 0.204,2.8,2.92,0.267,83.4,-0.12
Jhony Brito,3,8,xwOBA élite 0.231 — domina contacto | EV permitida baja 85.3 mph | xBA permitida muy baja 0.180,0.0,2.18,0.231,85.3,-2.18
Alimber Santa,3,8,xwOBA élite 0.268 — domina contacto | EV permitida baja 83.8 mph | xBA permitida muy baja 0.207,1.17,2.94,0.268,83.8,-1.77
Jacob Waguespack,3,8,xwOBA élite 0.244 — domina contacto | EV permitida baja 83.1 mph | xBA permitida muy baja 0.206,1.54,2.43,0.244,83.1,-0.89
José A. Ferrer,3,8,xwOBA élite 0.279 — domina contacto | EV permitida baja 86.3 mph | xBA permitida muy baja 0.225,2.37,3.19,0.279,86.3,-0.82
Rico Garcia,3,8,xwOBA élite 0.271 — domina contacto | EV permitida baja 86.3 mph | xBA permitida muy baja 0.206,2.75,3.01,0.271,86.3,-0.26
Brock Stewart,3,8,xwOBA élite 0.258 — domina contacto | EV permitida baja 82.6 mph | xBA permitida muy baja 0.181,1.17,2.72,0.258,82.6,-1.55
Orion Kerkering,3,8,xwOBA élite 0.271 — domina contacto | EV permitida baja 83.7 mph | xBA permitida muy baja 0.176,2.5,3.01,0.271,83.7,-0.51
Fernando Cruz,3,8,xwOBA élite 0.267 — domina contacto | EV permitida baja 85.1 mph | xBA permitida muy baja 0.178,2.35,2.92,0.267,85.1,-0.57
Alex Vesia,3,8,xwOBA élite 0.254 — domina contacto | EV permitida baja 86.9 mph | xBA permitida muy baja 0.172,2.35,2.63,0.254,86.9,-0.28
