Name,Señales,Score_Explosion,Detalle,wOBA,xwOBA,BABIP,EV,Barrel%,diff_xwoba
Jose Trevino,3,8,xwOBA supera wOBA en +0.051 | BABIP muy bajo 0.167 — hits no caen | xBA 0.190 supera BA 0.138,0.156,0.207,0.167,84.7,0.0,0.051
Rafael Marchán,3,8,xwOBA supera wOBA en +0.055 | BABIP muy bajo 0.089 — hits no caen | xBA 0.153 supera BA 0.086,0.129,0.184,0.089,85.7,2.2,0.055
Matt Vierling,3,8,xwOBA supera wOBA en +0.034 | BABIP muy bajo 0.212 — hits no caen | xBA 0.259 supera BA 0.200,0.285,0.319,0.212,87.5,5.9,0.034
Rob Refsnyder,3,8,xwOBA supera wOBA en +0.083 | BABIP muy bajo 0.111 — hits no caen | xBA 0.167 supera BA 0.106,0.172,0.255,0.111,87.4,8.5,0.083
Marcell Ozuna,3,8,xwOBA supera wOBA en +0.048 | BABIP muy bajo 0.235 — hits no caen | xBA 0.224 supera BA 0.187,0.27,0.318,0.235,89.3,8.6,0.048
Victor Caratini,3,8,xwOBA supera wOBA en +0.074 | BABIP muy bajo 0.227 — hits no caen | xBA 0.251 supera BA 0.198,0.268,0.342,0.227,88.8,5.6,0.074
Wenceel Pérez,3,8,xwOBA supera wOBA en +0.056 | BABIP muy bajo 0.172 — hits no caen | xBA 0.205 supera BA 0.160,0.207,0.263,0.172,87.1,6.7,0.056
Alejandro Kirk,3,8,xwOBA supera wOBA en +0.040 | BABIP muy bajo 0.118 — hits no caen | xBA 0.254 supera BA 0.150,0.258,0.298,0.118,85.5,5.6,0.04
Sean Murphy,3,8,xwOBA supera wOBA en +0.069 | BABIP muy bajo 0.125 — hits no caen | xBA 0.140 supera BA 0.071,0.064,0.133,0.125,80.3,0.0,0.069
Ramón Urías,3,8,xwOBA supera wOBA en +0.031 | BABIP muy bajo 0.159 — hits no caen | Barrel rate alto 10.9%,0.276,0.307,0.159,89.5,10.9,0.031
Otto Kemp,3,8,xwOBA supera wOBA en +0.086 | BABIP muy bajo 0.133 — hits no caen | xBA 0.162 supera BA 0.080,0.12,0.206,0.133,81.5,0.0,0.086
Blaze Alexander,3,8,xwOBA supera wOBA en +0.042 | EV élite 92.1 mph | xBA 0.279 supera BA 0.235,0.266,0.308,0.348,92.1,2.9,0.042
Jake Rogers,3,8,xwOBA supera wOBA en +0.035 | BABIP muy bajo 0.226 — hits no caen | Barrel rate alto 9.7%,0.212,0.247,0.226,87.1,9.7,0.035
